PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-20,18:07:10,1,1,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,82.11627,-0.050095,-0.340388,2327.014288,349.985454,05:45:00,5.98903,0.1895,5.48125,-41.48353,1.43236,0.0322,2.48519,-0.12629,73.91438,-7.684387,-0.334644,0.471499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1326,1.21413,-0.15968,50,5.95682,0.70552,-118.98092,-1.54762,-0.18593,27.47471,-30.47159,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,4a0f2d40-24c2-11f1-8187-7989b8594012,79.94179,NA,NA,8.20189,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:07:10,2026-03-21T01:07:10Z,2026-03-21T01:07:10Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,f5120d7b-e7fa-4fce-80b5-de99156413aa,55.01351,-120.13305,13.73736,5.99492,-0.26982,-15.23579,-0.18943,0.71332,-0.09297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2026-03-20,18:07:23,1,2,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.3869,-3.131226,-1.423999,2161.832668,200.8032,12:45:00,6.04762,-0.29914,6.15602,-12.39174,20.50993,7.33678,2.11841,-1.00358,83.36405,-5.557386,-0.100958,0.412838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2141,11.90847,0.40377,50,5.80302,3.00718,-133.8563,-7.60998,-7.54054,32.60579,-10.86559,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,52159ec0-24c2-11f1-8187-7989b8594012,91.30069,NA,NA,9.02285,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:07:23,2026-03-21T01:07:23Z,2026-03-21T01:07:23Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,0390c973-d7ed-4802-9eb7-4f9a340ff978,54.33817,-134.90889,16.30289,6.04303,-7.25921,-5.43279,0.30277,3.2506,-3.77027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2026-03-20,18:07:42,1,3,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.25963,0.605517,0.350448,2762.688508,13.33934,06:30:00,6.06941,-0.23207,5.52392,-66.18795,-20.33021,-5.20784,1.11987,-0.33842,72.14819,-11.390541,-0.582887,0.487391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76402,-10.09292,0.20522,50,6.07743,-0.49989,-115.03531,-1.10711,3.62319,25.66784,-45.40423,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,5d21fd40-24c2-11f1-8187-7989b8594012,77.33507,NA,NA,7.11144,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:07:42,2026-03-21T01:07:42Z,2026-03-21T01:07:42Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,74921a10-c38a-4a9e-b0e0-25729e4bc452,54.97811,-116.14076,12.83392,6.083,0.84835,-22.70212,0.23011,-0.65594,1.81159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2026-03-20,18:07:58,1,4,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.98314,-3.003246,-2.283666,2082.575286,201.197355,12:45:00,6.06307,-0.28841,6.06929,-16.97836,15.68812,5.61863,1.86435,-1.93453,83.85829,-6.244847,-1.272517,0.411361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.60914,9.38414,0.4625,50,5.82111,5.11924,-134.62569,-7.5671,-6.52217,33.40657,-15.21576,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,66db4ee0-24c2-11f1-8187-7989b8594012,91.62871,NA,NA,9.12485,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:07:58,2026-03-21T01:07:58Z,2026-03-21T01:07:58Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,750f56d7-f6fa-4f6f-a296-29289adda9c1,54.42457,-135.71918,16.70329,6.06065,-7.06905,-7.60788,0.29144,5.33273,-3.26108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2026-03-20,18:08:15,1,5,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.81637,-1.815388,-1.30254,2458.848227,344.312591,05:30:00,6.03109,0.04928,5.28307,-43.40282,-1.15984,0.74232,0.70837,-1.11227,75.45292,-9.694256,-1.170418,0.467788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7898,0.39425,0.06889,50,5.83371,2.69747,-119.99963,-5.3784,-1.13528,26.30129,-31.60733,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,7099f7b0-24c2-11f1-8187-7989b8594012,80.57596,NA,NA,7.36346,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:08:15,2026-03-21T01:08:15Z,2026-03-21T01:08:15Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,ceafcb9a-5bcc-4c6a-898d-693bfa05143d,55.21437,-121.13711,13.15064,6.03676,-4.01144,-15.80367,-0.04883,2.74657,-0.56764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2026-03-20,18:08:38,1,6,"Malki, Michael",836280,Right,CAL_LAN,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Top,0,3,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,82.78979,-0.341654,0.634876,2376.800256,51.789457,07:45:00,5.99969,0.00855,5.18749,-44.6968,-1.52736,-4.18559,1.95352,0.25704,73.83226,-8.520147,-0.108242,0.472889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31744,-0.11614,-0.06417,50,5.93457,-1.14354,-119.7427,-2.36516,3.25429,30.18691,-32.33715,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,7e45b930-24c2-11f1-8187-7989b8594012,79.70666,NA,NA,8.95753,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:08:38,2026-03-21T01:08:38Z,2026-03-21T01:08:38Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,53d917de-aa92-4d73-914f-b7d973da093f,55.30586,-121.07291,15.09346,6.0074,-0.9402,-16.16858,-0.01062,-1.28695,1.62714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2066,NA,NA,0.89939,NA,NA,NA,5.47309,4.95617,3.69435,69.0932,6.08448,-55.689,5.49556,74.0154,-3.66157,4.98872,13.52781,-13.66884,3.61587,-73.21627,8.05241,High,High,High,NA,NA,High,High,High
7,2026-03-20,18:09:09,2,1,"Malki, Michael",836280,Right,CAL_LAN,"Haire, Reid",822668,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Slider,InPlay,Undefined,LineDrive,Double,0,0,NA,81.72079,0.570403,0.096878,2435.244517,331.229692,05:00:00,5.97183,0.13625,5.62297,-43.83888,-1.14323,1.43847,2.85089,0.34653,74.20474,-7.485287,0.354156,0.470287,95.55616,17.536617,-6.165536,3503.22168,108.69478,30.45104,-16.89441,315.76609,312.37573,-13.654603,3.390847,-0.70059,-0.34925,-0.14546,50,5.9923,-0.25808,-118.5802,-0.31834,-0.98481,25.36822,-32.66497,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,914b42c0-24c2-11f1-8187-7989b8594012,80.14771,36.47148,NA,7.51606,NA,NA,NA,1.03405,2.75836,-0.34624,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:09:09,2026-03-21T01:09:09Z,2026-03-21T01:09:09Z,LineDrive,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,a5d2ea33-578e-4b2c-8015-7bfaabdb0c27,54.87442,-119.61846,12.68411,5.97797,1.01855,-16.33249,-0.13573,-0.21778,-0.49241,143.064238,1.03401,132.86386,-22.24833,4.8733,-1.00782,0.19698,-0.03199,0.00334,-1.5e-4,2.75861,42.22035,-13.52545,0.00639,0.2168,-0.09059,0.0192,-0.00151,-1e-5,-0.34642,-14.34667,-4.83012,1.57598,-0.48383,0.13454,-0.02761,0.00331,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2026-03-20,18:10:00,3,1,"Malki, Michael",836280,Right,CAL_LAN,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.64075,-3.811922,-0.151565,2041.382594,220.645517,01:15:00,6.05474,0.1939,6.10068,-17.21115,17.1469,13.63127,1.08992,1.18967,81.86607,-7.092978,2.306037,0.421877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.05335,10.45056,-0.1891,50,5.75223,-0.23365,-131.25446,-9.22841,-12.10132,32.05966,-14.24414,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,af872100-24c2-11f1-8187-7989b8594012,89.34468,NA,NA,8.77469,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:10:00,2026-03-21T01:10:00Z,2026-03-21T01:10:00Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,a634b06e-01ed-4df1-ac1d-bd5ca8b2d1a9,54.39438,-132.32346,16.02983,6.05202,-8.75345,-7.12207,-0.18803,0.16986,-6.05066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2026-03-20,18:10:20,3,2,"Malki, Michael",836280,Right,CAL_LAN,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,81.71165,-0.735229,-0.752196,2264.969204,74.987588,08:30:00,6.06328,0.11105,5.44195,-42.61073,0.95776,-2.70394,1.82388,-0.81862,73.45931,-8.559171,-1.234448,0.47507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09732,1.20839,-0.04263,50,5.96921,1.66538,-118.33596,-2.99927,1.51607,27.9781,-30.50451,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,bb621a20-24c2-11f1-8187-7989b8594012,79.3408,NA,NA,8.25234,NA,NA,NA,NA,NA,NA,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:10:20,2026-03-21T01:10:20Z,2026-03-21T01:10:20Z,NA,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,57aed041-e8bd-44c8-9d64-8d02b3c75bfd,55.05309,-119.52468,13.98905,6.06911,-1.70321,-15.25225,-0.11202,1.60096,0.75803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2026-03-20,18:10:40,3,3,"Malki, Michael",836280,Right,CAL_LAN,"Longmeier, Charlie",10003531,Left,EVA_ACE,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,77.48161,1.635436,0.432037,2752.808107,15.573237,06:30:00,6.13091,0.28303,5.10907,-64.75118,-16.26914,-4.99713,2.27622,0.27364,70.64017,-10.045488,-0.45473,0.501143,86.08256,-29.526405,22.827993,NA,NA,NA,NA,5.62016,1.86529,14.342596,0.037688,2.63095,-8.18268,-0.3196,50,6.23381,-0.64626,-112.37838,0.87554,3.3164,23.0802,-42.48864,CAL_LAN,EVA_ACE,705-CalBaptistBaseballField,D1,WAC,20260320-705-CalBaptistBaseballField-1,c7867850-24c2-11f1-8187-7989b8594012,75.2129,2.35021,NA,6.84144,NA,NA,NA,1.62049,2.35021,-0.21765,30c888f6-303e-468b-bda9-0f1ed796c0b7,2026-03-21,01:10:40,2026-03-21T01:10:40Z,2026-03-21T01:10:40Z,GroundBall,v3,471762,471290,9d2b302929f8479bab87bb8e313f9a3a,"Chavez, Matthew",1000119380,Right,CAL_LAN,41ae4918-d010-4936-b66a-4573e9c20d79,55.39238,-113.48046,11.5401,6.14357,2.90438,-21.24432,-0.28496,-0.80462,1.6582,NA,1.61912,101.47854,NA,NA,NA,NA,NA,NA,NA,2.35105,-62.35997,NA,NA,NA,NA,NA,NA,NA,-0.21823,42.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
